NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 156 IPTER   100.00  6 2022  6 2022                                                                                                                                                                     
 156 GTMIN  0210.00  4 2021  5 2021                                                                                                                                                                     
 156 IPTER    32.26  7 2022  7 2022                                                                                                                                                                     
 156 IPTER     0.00  8 2022                                                                                                                                                                             
 156 GTMIN   158.73  7 2021  7 2021                                                                                                                                                                     
 156 GTMIN  0210.00  8 2021 10 2021                                                                                                                                                                     
 156 GTMIN  0210.00 11 2021  3 2022                                                                                                                                                                     
 156 GTMIN  0210.00  4 2022  5 2022                                                                                                                                                                     
 156 GTMIN   158.73  7 2022  7 2022                                                                                                                                                                     
 156 GTMIN  0210.00  8 2022                                                                                                                                                                             
  64 POTEF   248.57  8 2018          CANOAS                                                                                                                                                             
  64 GTMIN  0000.00 11 2018  3 2019                                                                                                                                                                     
  64 GTMIN  0000.00 11 2019  3 2020                                                                                                                                                                     
  64 GTMIN  0000.00 11 2020  3 2021                                                                                                                                                                     
  64 GTMIN  0000.00 11 2021  3 2022                                                                                                                                                                     
  28 POTEF    20.00  8 2018          FIGUEIRA                                                                                                                                                           
  28 FCMAX    65.00  8 2018  9 2018                                                                                                                                                                     
  28 FCMAX    90.00 10 2018                                                                                                                                                                             
  28 GTMIN     4.24 10 2018 10 2018                                                                                                                                                                     
  28 GTMIN    10.12 11 2018 12 2018                                                                                                                                                                     
  28 GTMIN     2.60  1 2019  1 2019                                                                                                                                                                     
  28 IPTER    74.19  1 2019  1 2019                                                                                                                                                                     
  28 GTMIN    10.12  2 2019 12 2019                                                                                                                                                                     
  28 IPTER     0.00  2 2019 12 2019                                                                                                                                                                     
  28 GTMIN     2.60  1 2020  1 2020                                                                                                                                                                     
  28 IPTER    74.19  1 2020  1 2020                                                                                                                                                                     
  28 GTMIN    10.12  2 2020 12 2020                                                                                                                                                                     
  28 IPTER     0.00  2 2020 12 2020                                                                                                                                                                     
  28 GTMIN     2.60  1 2021  1 2021                                                                                                                                                                     
  28 IPTER    74.19  1 2021  1 2021                                                                                                                                                                     
